epoch,accuracy,loss,val_accuracy,val_loss
0,0.6115714311599731,0.651347279548645,0.699999988079071,0.5729920268058777
1,0.7277143001556396,0.5429015159606934,0.6949999928474426,0.5959973931312561
2,0.7475714087486267,0.5088809728622437,0.7543333172798157,0.5052378177642822
3,0.779285728931427,0.4634082019329071,0.7493333220481873,0.501259982585907
4,0.7907142639160156,0.43638601899147034,0.746999979019165,0.5149716138839722
5,0.8158571720123291,0.3977593779563904,0.7463333606719971,0.5321601033210754
6,0.8338571190834045,0.361106276512146,0.7413333058357239,0.5451711416244507
7,0.8632857203483582,0.3094157576560974,0.722000002861023,0.569417417049408
8,0.8888571262359619,0.25779882073402405,0.722000002861023,0.7151685357093811
9,0.9087142944335938,0.22379840910434723,0.7419999837875366,0.7083010077476501
